fips,year ,wandsemp,totemp
48301,1990,25.00,95.00
31115,1990,101.00,289.00
30069,1990,108.00,275.00
31117,1990,111.00,270.00
38087,1990,144.00,488.00
08053,1990,164.00,312.00
31103,1990,164.00,464.00
30037,1990,179.00,410.00
31005,1990,186.00,316.00
13239,1990,207.00,326.00
49031,1990,214.00,374.00
31009,1990,230.00,411.00
31007,1990,246.00,466.00
35021,1990,248.00,530.00
16025,1990,252.00,484.00
48033,1990,255.00,477.00
31113,1990,258.00,498.00
31085,1990,266.00,624.00
30109,1990,271.00,567.00
21201,1990,275.00,795.00
31171,1990,277.00,378.00
48261,1990,284.00,329.00
08079,1990,289.00,427.00
31075,1990,290.00,469.00
30103,1990,291.00,458.00
31091,1990,306.00,428.00
48393,1990,313.00,521.00
48269,1990,320.00,384.00
26083,1990,324.00,436.00
48263,1990,325.00,651.00
13265,1990,326.00,498.00
31165,1990,337.00,762.00
49009,1990,341.00,436.00
13101,1990,342.00,507.00
46137,1990,343.00,665.00
31183,1990,347.00,610.00
46017,1990,356.00,465.00
46095,1990,373.00,740.00
38083,1990,377.00,1049.00
30011,1990,383.00,861.00
30079,1990,391.00,654.00
08027,1990,392.00,814.00
41069,1990,400.00,714.00
30033,1990,410.00,812.00
32009,1990,413.00,512.00
48345,1990,424.00,799.00
08047,1990,431.00,683.00
28055,1990,432.00,646.00
48011,1990,458.00,909.00
08033,1990,459.00,814.00
48385,1990,462.00,1052.00
48173,1990,464.00,787.00
08111,1990,465.00,595.00
13183,1990,465.00,759.00
48045,1990,471.00,900.00
48311,1990,472.00,822.00
46075,1990,480.00,825.00
49033,1990,483.00,783.00
46069,1990,492.00,910.00
35033,1990,530.00,1119.00
46063,1990,536.00,986.00
13307,1990,537.00,682.00
46021,1990,539.00,1081.00
48235,1990,540.00,940.00
38091,1990,543.00,1147.00
48327,1990,549.00,1185.00
48431,1990,552.00,908.00
31073,1990,557.00,1013.00
46061,1990,559.00,1146.00
38007,1990,569.00,888.00
48443,1990,571.00,816.00
21189,1990,572.00,1197.00
46119,1990,573.00,1055.00
08061,1990,578.00,1064.00
30045,1990,583.00,1194.00
30075,1990,593.00,1122.00
48137,1990,600.00,1170.00
16033,1990,606.00,757.00
35011,1990,608.00,910.00
30107,1990,610.00,993.00
20083,1990,612.00,1365.00
21063,1990,613.00,1488.00
30055,1990,616.00,1125.00
30059,1990,616.00,1038.00
48447,1990,621.00,1338.00
51045,1990,622.00,1060.00
20199,1990,624.00,1171.00
48155,1990,624.00,1047.00
18115,1990,631.00,1234.00
08057,1990,635.00,1082.00
41021,1990,639.00,963.00
49055,1990,639.00,1019.00
30051,1990,645.00,1082.00
29227,1990,656.00,1259.00
46071,1990,669.00,1193.00
06003,1990,675.00,808.00
51091,1990,677.00,1300.00
13125,1990,679.00,882.00
41055,1990,679.00,1102.00
46049,1990,680.00,1297.00
38037,1990,689.00,1732.00
38043,1990,696.00,1538.00
46073,1990,701.00,1252.00
48243,1990,701.00,1016.00
48271,1990,701.00,1041.00
38047,1990,704.00,1466.00
35003,1990,708.00,1245.00
46111,1990,708.00,1348.00
13061,1990,711.00,884.00
31149,1990,719.00,1294.00
38033,1990,732.00,1247.00
53069,1990,733.00,1319.00
48125,1990,736.00,1309.00
31015,1990,737.00,1517.00
21165,1990,748.00,1583.00
54105,1990,749.00,1388.00
20071,1990,751.00,1183.00
31133,1990,751.00,1676.00
38065,1990,753.00,1239.00
46031,1990,754.00,1446.00
20049,1990,761.00,1626.00
30019,1990,761.00,1393.00
48433,1990,772.00,1439.00
38075,1990,774.00,1489.00
31071,1990,778.00,1281.00
32029,1990,778.00,971.00
20025,1990,779.00,1329.00
13007,1990,782.00,1029.00
53023,1990,785.00,1200.00
31049,1990,786.00,1273.00
38023,1990,787.00,1721.00
17013,1990,793.00,1765.00
29197,1990,793.00,1683.00
08091,1990,794.00,1368.00
16071,1990,794.00,1382.00
50013,1990,802.00,1625.00
48359,1990,810.00,1211.00
17151,1990,812.00,1340.00
38013,1990,812.00,1600.00
08017,1990,817.00,1405.00
29129,1990,819.00,1725.00
30039,1990,825.00,1340.00
31077,1990,831.00,1580.00
46007,1990,831.00,1349.00
46003,1990,852.00,1617.00
20033,1990,855.00,1444.00
48229,1990,855.00,1175.00
46117,1990,858.00,1320.00
38041,1990,860.00,1766.00
20101,1990,868.00,1506.00
31087,1990,870.00,1645.00
16081,1990,873.00,1377.00
21039,1990,882.00,1673.00
38025,1990,883.00,1800.00
46089,1990,885.00,1650.00
48095,1990,888.00,1604.00
37177,1990,894.00,1361.00
40129,1990,898.00,2004.00
56027,1990,898.00,1547.00
31163,1990,903.00,1824.00
08023,1990,904.00,1276.00
31069,1990,905.00,1534.00
06091,1990,910.00,1327.00
31057,1990,920.00,1544.00
38039,1990,920.00,1701.00
38027,1990,921.00,1442.00
31063,1990,933.00,1687.00
51036,1990,933.00,1357.00
02100,1990,940.00,1652.00
13263,1990,941.00,1282.00
46055,1990,941.00,1648.00
38085,1990,942.00,1230.00
48205,1990,942.00,1493.00
31061,1990,943.00,1840.00
48295,1990,943.00,1840.00
08025,1990,945.00,1353.00
20017,1990,945.00,1784.00
48119,1990,945.00,1702.00
20075,1990,952.00,1550.00
54017,1990,961.00,1930.00
20187,1990,965.00,1498.00
40057,1990,967.00,1652.00
48421,1990,969.00,1601.00
30007,1990,973.00,1556.00
16015,1990,974.00,1423.00
30097,1990,982.00,1754.00
40025,1990,982.00,1777.00
21237,1990,985.00,1944.00
55037,1990,985.00,1343.00
20179,1990,986.00,1921.00
48319,1990,986.00,2157.00
48413,1990,990.00,1657.00
20203,1990,992.00,1587.00
08115,1990,993.00,1563.00
16003,1990,995.00,1627.00
20207,1990,997.00,1900.00
21077,1990,1017.00,1686.00
46043,1990,1018.00,1730.00
48087,1990,1038.00,1914.00
48081,1990,1040.00,1867.00
51097,1990,1057.00,1595.00
20023,1990,1059.00,1944.00
08093,1990,1060.00,2084.00
30065,1990,1061.00,1759.00
46045,1990,1061.00,2035.00
48379,1990,1061.00,2112.00
48129,1990,1067.00,1822.00
16061,1990,1068.00,1737.00
46085,1990,1075.00,1759.00
31135,1990,1084.00,2008.00
46097,1990,1086.00,1860.00
38095,1990,1091.00,2038.00
46107,1990,1092.00,1718.00
31083,1990,1096.00,1940.00
20019,1990,1100.00,2120.00
17071,1990,1102.00,2119.00
31181,1990,1103.00,2049.00
46025,1990,1105.00,2168.00
20089,1990,1108.00,2276.00
13249,1990,1109.00,1427.00
31125,1990,1110.00,1940.00
48417,1990,1120.00,2174.00
20105,1990,1122.00,2075.00
05025,1990,1126.00,1808.00
12067,1990,1126.00,1699.00
47067,1990,1128.00,2356.00
05101,1990,1134.00,2344.00
30025,1990,1140.00,1864.00
30061,1990,1144.00,1555.00
55078,1990,1145.00,1406.00
13309,1990,1148.00,1583.00
48191,1990,1148.00,1831.00
46039,1990,1150.00,2246.00
20153,1990,1154.00,2097.00
48283,1990,1154.00,1831.00
29085,1990,1157.00,2390.00
37029,1990,1161.00,1684.00
51049,1990,1165.00,1850.00
21215,1990,1169.00,2330.00
47175,1990,1175.00,1678.00
20109,1990,1178.00,2041.00
31017,1990,1184.00,2022.00
28009,1990,1186.00,1851.00
38001,1990,1186.00,1925.00
29103,1990,1213.00,2293.00
27125,1990,1215.00,2048.00
28015,1990,1216.00,2148.00
27087,1990,1225.00,2166.00
49029,1990,1228.00,1975.00
20063,1990,1231.00,2249.00
29171,1990,1237.00,2399.00
16063,1990,1238.00,1801.00
13079,1990,1240.00,1666.00
20165,1990,1240.00,2220.00
40029,1990,1241.00,2266.00
38029,1990,1252.00,2439.00
13259,1990,1257.00,1602.00
31093,1990,1258.00,2516.00
48333,1990,1262.00,2542.00
20195,1990,1264.00,2299.00
29035,1990,1269.00,2062.00
17069,1990,1276.00,1830.00
20197,1990,1277.00,2599.00
46059,1990,1277.00,2278.00
38063,1990,1287.00,2325.00
38051,1990,1297.00,2237.00
20093,1990,1299.00,1987.00
38045,1990,1309.00,2535.00
40059,1990,1310.00,2428.00
05105,1990,1311.00,2323.00
48151,1990,1311.00,2415.00
46057,1990,1313.00,2166.00
40033,1990,1315.00,2499.00
20065,1990,1324.00,2297.00
26085,1990,1328.00,2021.00
54015,1990,1329.00,1917.00
08009,1990,1332.00,2411.00
38049,1990,1332.00,2874.00
16007,1990,1334.00,2222.00
47137,1990,1335.00,2161.00
48175,1990,1337.00,2690.00
48211,1990,1341.00,2179.00
27155,1990,1344.00,2207.00
48383,1990,1354.00,1972.00
48247,1990,1362.00,1868.00
20129,1990,1365.00,1956.00
27077,1990,1365.00,1991.00
12043,1990,1367.00,1904.00
31167,1990,1367.00,2411.00
21223,1990,1368.00,2486.00
40045,1990,1369.00,2529.00
08109,1990,1373.00,2118.00
20097,1990,1386.00,2098.00
29199,1990,1386.00,2486.00
20047,1990,1388.00,2146.00
51157,1990,1393.00,2536.00
38011,1990,1394.00,2244.00
48101,1990,1394.00,1887.00
18161,1990,1397.00,2152.00
35059,1990,1402.00,2204.00
20119,1990,1404.00,2356.00
20143,1990,1407.00,2577.00
08039,1990,1408.00,3228.00
46091,1990,1416.00,2319.00
13173,1990,1421.00,1860.00
35019,1990,1424.00,1897.00
40043,1990,1425.00,2835.00
48023,1990,1425.00,2237.00
13085,1990,1426.00,2642.00
48317,1990,1430.00,2314.00
28063,1990,1431.00,1901.00
48267,1990,1431.00,2542.00
37043,1990,1432.00,2337.00
47121,1990,1435.00,2915.00
08055,1990,1447.00,2215.00
48109,1990,1462.00,1739.00
46105,1990,1466.00,2500.00
08095,1990,1468.00,2368.00
47127,1990,1468.00,2004.00
49001,1990,1470.00,2113.00
48275,1990,1471.00,2291.00
29125,1990,1472.00,3069.00
38031,1990,1472.00,2154.00
30091,1990,1475.00,2476.00
51115,1990,1477.00,2331.00
02060,1990,1484.00,1817.00
21023,1990,1484.00,2838.00
30015,1990,1488.00,2670.00
46053,1990,1491.00,2806.00
48377,1990,1492.00,2057.00
20135,1990,1495.00,2797.00
12077,1990,1498.00,1867.00
13283,1990,1498.00,1892.00
31123,1990,1509.00,2496.00
19159,1990,1514.00,2789.00
02270,1990,1516.00,1964.00
48169,1990,1519.00,2664.00
29153,1990,1520.00,3144.00
02013,1990,1521.00,1653.00
20081,1990,1525.00,2260.00
40053,1990,1525.00,3055.00
48079,1990,1525.00,2156.00
21105,1990,1527.00,2120.00
17175,1990,1529.00,2530.00
48105,1990,1532.00,2209.00
26001,1990,1542.00,2719.00
29087,1990,1543.00,2710.00
08121,1990,1544.00,2982.00
13025,1990,1544.00,2323.00
05097,1990,1547.00,2681.00
48461,1990,1549.00,2188.00
48407,1990,1556.00,2941.00
40067,1990,1565.00,2785.00
22091,1990,1567.00,2293.00
08011,1990,1571.00,2174.00
47083,1990,1574.00,2451.00
13201,1990,1576.00,2193.00
20039,1990,1583.00,2344.00
29045,1990,1585.00,2737.00
49017,1990,1585.00,2206.00
17009,1990,1596.00,2548.00
13197,1990,1600.00,2049.00
17065,1990,1604.00,2932.00
31105,1990,1611.00,2565.00
46087,1990,1626.00,2945.00
37073,1990,1629.00,2389.00
21061,1990,1634.00,2823.00
18155,1990,1636.00,2781.00
13231,1990,1641.00,2509.00
46041,1990,1644.00,2318.00
31097,1990,1648.00,2648.00
48197,1990,1649.00,2477.00
20185,1990,1658.00,3070.00
48237,1990,1661.00,3235.00
08021,1990,1664.00,2672.00
42053,1990,1665.00,2183.00
53013,1990,1665.00,2178.00
17169,1990,1666.00,2971.00
20127,1990,1674.00,2826.00
50009,1990,1674.00,2494.00
38019,1990,1675.00,3307.00
20183,1990,1676.00,2949.00
30099,1990,1679.00,2825.00
48411,1990,1685.00,3051.00
