year,hsplus,realfuelpr,unionmem,popdensity,pctmanuf,ptax,inctax,capgntax,salestax,corptax,wctaxfixed,uitax,stfip
1977,50.799999,12.2,18.700001,74.5,0.25,0.003537521,2.5599999,3.4000001,4,5,0.75300002,264,1
1977,65.099998,14.2,15.6,21.4,0.13,0.0086058574,4.1700001,1.37,4,10.5,1.989,216,4
1977,49.900002,17.799999,14.1,42.400002,0.25,0.0073267338,7,7,3,6,1.205,303.60001,5
1977,66.300003,16.9,25.700001,143.3,0.18000001,0.011829033,11,7.1500001,4.75,9,2.1081469,294,6
1977,70.599998,15,14.9,26,0.14,0.0087542888,3.9000001,1.28,3,5,0.91900003,216,8
1977,63.200001,21.299999,24.1,637.5,0.30000001,0.017053775,0,3.5,7,10,1.025,420,9
1977,61.599998,18.9,22.4,304.29999,0.34999999,0.0077671851,19.799999,9.8999996,0,7.9499998,1.051631,297,10
1977,59.799999,20.299999,12.7,164.60001,0.11,0.0089152716,0,0,4,5,2.523,270,12
1977,47.700001,16,11.8,90,0.23999999,0.0094822124,6,3,3,6,0.97299999,282,13
1977,66.199997,14.8,17.5,10.7,0.17,0.0092960401,7.5,3.75,3,6.5,1.373,528,16
1977,61.200001,14.5,30.1,205.2,0.25999999,0.015727146,2.5,2.5,4,4,1.513,280,17
1977,58,14.6,29.700001,150.7,0.36000001,0.010275626,2,1,4,5.75,0.449,198,18
1977,64.300003,12.2,20.9,52.200001,0.25,0.012954861,6.9499998,2.3,3,10,0.81999999,426.29999,19
1977,65.900002,13.6,18.5,28.299999,0.19,0.014023314,4.71,1.55,3,4.5,1.015,216,20
1977,47.700001,15.2,22.700001,90,0.30000001,0.0072883591,3.0899999,1.01,5,5.8000002,1.296,336,21
1977,51.900002,10.7,15,92.199997,0.16,0.0034846079,1.88,0.94,3,6,1.71,180,22
1977,61.700001,20,19,35.799999,0.23,0.013988075,10,5,5,7,1.138,318,23
1977,60.599998,16.799999,22.6,429.10001,0.16,0.013296917,5,2.5,4.5,7,1.4299999,216,24
1977,63.900002,17.4,23.4,732.90002,0.25,0.027238345,5.3800001,10.75,5,9.4961996,1.278,306,25
1977,61.299999,14.5,37.700001,161.2,0.38999999,0.020411011,4.5999999,2.3,4,0,1.627,396,26
1977,65.699997,15.4,28.200001,50,0.22,0.010531241,8.1099997,2.72,4,12,1.538,622.5,27
1977,49.200001,15.6,12.9,52.400002,0.23999999,0.0062553668,3.0799999,3.0799999,5,4,0.89399999,162,28
1977,57.299999,16.700001,22.200001,70.300003,0.25,0.010771012,2.9100001,0.94999999,3.0625,5,0.86299998,211.2,29
1977,66.900002,13.6,25.5,5.3000002,0.1,0.013424301,6.4400001,2.1300001,0,6.75,1.678,248,30
1977,66,17.700001,18.299999,20.200001,0.14,0.020569226,11.19,5.5900002,2.75,4.2624998,0.73299998,222,31
1977,67.800003,16.200001,28.200001,6.1999998,0.050000001,0.0074136332,0,0,3,0,1.393445,325.5,32
1977,65,14.7,17.1,97.199997,0.28,0.021789672,0,0,0,7.5,1.117,240,33
1977,60.299999,21.700001,31.9,989.70001,0.25999999,0.024924068,2.5,2.5,5,7.5,1.223,508.39999,34
1977,61.900002,18.5,13.5,10.1,0.059999999,0.0069564539,8.2600002,4.1300001,4,5,1.235,357,35
1977,58.400002,16.200001,34.599998,378,0.2,0.027531249,18.75,13.13,4,10,1.318,312,36
1977,46.200001,17.799999,7.5999999,116.4,0.33000001,0.0088569261,7,7,3,6,0.486,282,37
1977,59.700001,18.799999,17.299999,9.3999996,0.059999999,0.015190807,3.23,2.51,3.5,6,0.054361999,462,38
1977,60.599998,13.6,31.1,263,0.34999999,0.011934218,3.3299999,1.66,4,8,1.481488,288,39
1977,59.299999,14,13.7,41.700001,0.15000001,0.0080065997,6,3,2,4,1.425,162,40
1977,67.900002,15,31.1,25.4,0.25,0.014495496,10,5,0,7,2.694,440,41
1977,60.299999,14.2,32.099998,265.10001,0.28999999,0.016849473,2,2,6,10,1.310581,264,42
1977,54.900002,20.4,25.1,914,0.28999999,0.01910351,8.6800003,5.7600002,5.5,8,1.37,430,44
1977,48.299999,16.1,5.6999998,99.300003,0.31,0.0065395031,7,3.5,4,6,0.68400002,246,45
1977,61,16.9,12.6,9.1000004,0.079999998,0.020691119,0,0,4,0,0.61900002,162,46
1977,50.5,16.1,18.299999,106.8,0.28,0.0085572768,0,0,4,6,0.81999999,240,47
1977,56.599998,13.6,12,50.400002,0.18000001,0.013483683,0,0,4,0,1.806,240,48
1977,71.900002,12.8,17.299999,16,0.14,0.0068252319,4.0300002,1.3200001,4,5,0.76700002,348,49
1977,63.799999,17.299999,16.6,53.200001,0.22,0.019654917,14.88,7.4400001,3,7.5,0.73799998,366,50
1977,59.700001,20,14.3,131.5,0.2,0.0089572202,5.75,2.8800001,3,6,0.722,162,51
1977,69.699997,13.1,31.700001,56.700001,0.19,0.010659881,0,0,4.5,0,1.207001,324,53
1977,50.299999,15.1,32,79.099998,0.20999999,0.0048140008,8.7600002,4.3800001,3,6,0.82999998,264,54
1977,62.5,13,32.599998,84.900002,0.33000001,0.019719476,10.23,10.23,4,7.9000001,0.64999998,342,55
1977,70,12.8,15.9,4.1999998,0.050000001,0.0049003158,0,0,3,0,0.321392,215.39999,56
1978,53.599998,7.5999999,21.6,75.5,0.25,0.0036057541,2.5599999,3.46,4,5,0.92699999,264,1
1978,68.699997,9.8999996,14.7,22.200001,0.13,0.0082401261,4.1700001,1.3200001,4,10.5,2.1889999,207,4
1978,52.700001,12.6,13.1,43,0.25,0.0073564812,7,6.77,3,6,1.2640001,303.60001,5
1978,69.900002,11.3,26.200001,146.39999,0.18000001,0.011221927,11,7.1500001,4.75,9,2.2492471,291,6
1978,74.599998,9.5,17.299999,26.700001,0.14,0.0082580522,3.9000001,1.23,3,5,1.086,228,8
1978,66.699997,12.5,26.700001,638.70001,0.30000001,0.016168019,0,3.3800001,7,10,1.286,420,9
1978,65.099998,14.3,25.4,306,0.34,0.0075275931,19.799999,9.5699997,0,8.6999998,1.192731,297,10
1978,63.200001,13.3,13,169.10001,0.11,0.0087256255,0,0,4,5,2.8529999,270,12
1978,52.099998,11.4,11.9,91.300003,0.23,0.0088180732,6,2.9000001,3,6,1.0700001,294,13
1978,70,10.7,17.299999,11,0.18000001,0.0092200423,7.5,3.6199999,3,6.5,1.285,528,16
1978,63.900002,9.8000002,27.299999,205.7,0.27000001,0.015276728,2.5,2.5,4,4,1.38,280,17
1978,62.200001,10.3,30.799999,151.8,0.36000001,0.0097875288,2,0.97000003,4,6,0.56800002,198,18
1978,67.900002,9.3000002,21,52.200001,0.25,0.012657958,6.9499998,2.23,3,10,0.89899999,474.14999,19
1978,69.599998,9.1000004,15.9,28.5,0.19,0.014355134,4.71,1.5,3,4.5,1.0549999,213,20
1978,50.400002,10.2,22.799999,90.900002,0.28999999,0.0072127772,3.0899999,0.97000003,5,5.8000002,1.732,368,21
1978,54.799999,6.4000001,13,93.5,0.15000001,0.003192446,1.88,0.91000003,3,8,1.757,225.89999,22
1978,65.199997,12.1,19.1,36.099998,0.23999999,0.014509432,10,4.8299999,5,7,1.216,309,23
1978,64,12.4,22,430.89999,0.15000001,0.012982463,5,2.4200001,5,7,1.447,258,24
1978,68.099998,10.5,22.200001,732.70001,0.25999999,0.024068642,5.3800001,10.75,5,9.4961996,1.465,345,25
1978,64.599998,10.8,35.099998,162,0.38,0.020141387,4.5999999,2.22,4,0,2.112,438,26
1978,69.400002,10,26.6,50.299999,0.20999999,0.010652549,9.29,3.03,4,12,1.821,622.5,27
1978,52,10.6,13,53,0.23999999,0.0061100479,3.0799999,3.0799999,5,4,0.92900002,162,28
1978,60.400002,10.9,20.1,70.699997,0.25,0.010232608,2.9100001,0.92000002,3.125,5,0.83899999,211.2,29
1978,70.599998,8.8000002,26.5,5.4000001,0.1,0.013595357,6.4400001,2.0599999,0,6.75,2.234,300,30
1978,69.699997,12.5,15.9,20.299999,0.14,0.018997351,10.07,4.8699999,3,4.4000001,0.73900002,192,31
1978,71.699997,10.8,23.5,6.5999999,0.050000001,0.0074280011,0,0,3,0,1.5345449,325.5,32
1978,68.599998,9.5,16.1,99.699997,0.30000001,0.020305065,0,0,0,8,1.449,285,33
1978,63.900002,13.1,27.200001,991.59998,0.25999999,0.022993997,2.5,2.5,5,7.5,1.398,508.39999,34
1978,65.400002,12.6,13.5,10.3,0.050000001,0.0069545521,8.2600002,3.99,4,5,1.286,361.25,35
1978,62.299999,10.3,34,375.20001,0.2,0.025965601,16.25,11.57,4,10,1.683,321,36
1978,50.5,11.4,8,117.8,0.33000001,0.0087681403,7,7,3,6,0.50800002,312,37
1978,63,12.1,15.4,9.3999996,0.050000001,0.015110637,2.3699999,1.83,3,6,0.054361999,452.76001,38
1978,63.799999,9.8000002,30.1,263.60001,0.34999999,0.011678155,3.3299999,1.61,4,8,1.622588,303,39
1978,62.700001,9.8999996,14.6,42.400002,0.15000001,0.0075466498,6,2.9000001,2,4,1.434,162,40
1978,71.800003,10.3,27.9,26.1,0.25,0.013976885,10,4.8299999,0,7.5,2.8010001,440,41
1978,62.5,10,32.200001,264.70001,0.28999999,0.016841592,2.2,2.2,6,10.5,1.451681,264,42
1978,58,12.4,26.299999,916,0.28999999,0.018350866,8.6800003,5.5700002,6,8,1.4349999,473,44
1978,51,11.4,6.1999998,101,0.31,0.0063933032,7,3.5,4,6,0.699,246,45
1978,64.5,10.9,14,9.1000004,0.079999998,0.020273253,0,0,4,0,0.72000003,231,46
1978,53.400002,11.5,23.4,108.2,0.27000001,0.0082747759,0,0,4.5,6,1.063,240,47
1978,59.599998,9.1999998,10.8,51.5,0.17,0.013319463,0,0,4,0,1.909,240,48
1978,75.900002,8.5,17.700001,16.6,0.15000001,0.0068520908,4.0300002,1.28,4,4,0.82800001,336,49
1978,67.400002,12.1,15.8,53.900002,0.23999999,0.019123729,14.88,7.1900001,3,7.5,0.935,363,50
1978,61,12.4,12.9,133.39999,0.19,0.0087372316,5.75,2.78,3,6,0.89499998,225,51
1978,73.699997,8.6000004,33.299999,58.400002,0.19,0.010785815,0,0,4.5,0,1.348101,340.20001,53
1978,53.200001,10.2,27.9,79.699997,0.20999999,0.004720463,8.7600002,4.23,3,6,0.92500001,264,54
1978,66.099998,8.8000002,26.299999,85.300003,0.31999999,0.019811992,10.23,10.23,4,7.9000001,0.76899999,366,55
1978,74,8,16.799999,4.4000001,0.050000001,0.0052760332,0,0,3,0,0.46249199,200.7,56
1979,56.5,8.1999998,24,76.199997,0.25999999,0.003512535,2.5599999,3.74,4,5,1.013,264,1
1979,72.400002,10.7,14.4,23.200001,0.14,0.0080013722,4.1700001,1.09,4,10.5,2.6059999,198,4
1979,55.5,14.1,13.7,43.599998,0.25,0.0072444328,7,5.5999999,3,6,1.291,303.60001,5
1979,73.5,12.6,26,149.10001,0.18000001,0.0070348028,11,7.1500001,4.75,9.3000002,2.333122,288,6
1979,78.599998,11.3,17.799999,27.5,0.14,0.0081324223,3.73,0.97000003,3,5,1.1059999,240,8
1979,70.300003,15.2,24.799999,639.79999,0.30000001,0.015289468,0,2.8,7,10,1.465,420,9
1979,68.599998,15.4,27,306.39999,0.34,0.0074824821,16.65,6.6599998,0,8.6999998,1.276606,297,10
1979,66.699997,15,11.7,175.39999,0.11,0.0086354958,0,0,4,5,2.642,270,12
1979,56.400002,12.4,12.2,93.099998,0.23,0.0086290054,6,2.4000001,3,6,1.262,306,13
1979,73.699997,11.6,20.5,11.3,0.18000001,0.0097296136,7.5,3,3,6.5,1.413,528,16
1979,66.5,11.1,29.200001,205.5,0.25999999,0.015210242,2.5,2.5,4,5.4250002,1.4299999,280,17
1979,66.400002,11.9,29.200001,152.60001,0.34999999,0.0092354678,1.7,0.68000001,4,6,0.53299999,198,18
1979,71.5,10.1,24.9,52.200001,0.25,0.013250774,6.9499998,1.84,3,10,1.1720001,522,19
1979,73.300003,10,14.9,28.700001,0.2,0.014256564,4.71,1.23,3,4.5,0.94099998,210,20
1979,53.099998,11.5,24.4,91.699997,0.28,0.0072137341,3.0899999,0.80000001,5,5.8000002,1.698,400,21
1979,57.700001,7.5,15,95,0.16,0.003005092,1.88,0.75,3,8,1.698,271.79999,22
1979,68.699997,15,16.5,36.400002,0.25,0.013571189,10,4,5,6.9650002,1.5880001,300,23
1979,67.400002,12.9,24.5,432.10001,0.15000001,0.012074834,5,2,5,7,1.819,300,24
1979,72.199997,13,24,733.09998,0.25999999,0.020848162,5.3800001,10.75,5,9.4961996,1.691,384,25
1979,68,12,37.599998,162.8,0.34999999,0.020057749,4.5999999,1.84,4,0,2.1259999,480,26
1979,73.099998,11.6,27.799999,50.700001,0.22,0.010362914,9.29,3.6099999,4,12,1.955,622.5,27
1979,54.799999,12.5,14.7,53.5,0.23999999,0.0059818262,3.8499999,3.8499999,5,4,0.866,162,28
1979,63.5,12.4,23.1,71,0.23999999,0.0099940738,2.9100001,0.75999999,3.125,5,0.89700001,211.2,29
1979,74.400002,9.8999996,24.200001,5.4000001,0.1,0.013171356,6.4400001,1.7,0,6.75,1.477,352,30
1979,73.400002,13.6,17.799999,20.299999,0.14,0.019486532,11.19,4.4699998,3,4.5374999,0.75400001,162,31
1979,75.5,12.4,26.200001,7,0.050000001,0.0077096042,0,0,3,0,1.61842,325.5,32
1979,72.300003,10.9,13.4,101.7,0.30000001,0.019478673,0,0,0,8,1.513,330,33
1979,67.400002,15.9,28.9,993.79999,0.25999999,0.021876384,2.5,2.5,5,7.5,1.4220001,508.39999,34
1979,68.900002,14.4,15.6,10.6,0.059999999,0.0068851388,8.2600002,3.3,3.875,5,1.524,365.5,35
1979,66.300003,12.6,35,373.39999,0.19,0.024044299,15,8.4099998,4,10,2.119,330,36
1979,54.799999,13.3,9.3999996,119.1,0.33000001,0.0087444643,7,7,3,6,0.61400002,342,37
1979,66.400002,14.1,15.8,9.5,0.050000001,0.015186848,2.3699999,1.74,3,7.25,0.054361999,443.51999,38
1979,67,11.1,33,263.70001,0.34999999,0.011597194,3.3299999,1.33,4,8,1.706463,318,39
1979,66,11.2,10.5,43.200001,0.15000001,0.0076152561,6,2.4000001,2,4,1.585,162,40
1979,75.599998,11.8,29.299999,26.9,0.25,0.013674896,10,4,0,7.5,2.756,440,41
1979,64.699997,11.1,33.099998,264.89999,0.28999999,0.016322466,2.2,2.2,6,10.5,1.535556,264,42
1979,61.099998,14.8,22.799999,915.40002,0.28999999,0.017319644,8.6800003,4.6199999,6,8,1.543,516,44
1979,53.700001,13.1,7.5999999,102.5,0.31,0.006190795,7,3.5,4,6,0.954,246,45
1979,67.900002,13.4,12.9,9.1000004,0.090000004,0.020088688,0,0,4,0,0.91500002,300,46
1979,56.200001,12.9,21.4,110,0.27000001,0.0080841836,0,0,4.5,6,1.038,240,47
1979,62.599998,10.9,12.5,53,0.18000001,0.013262867,0,0,4,0,1.896,240,48
1979,80,10.1,18,17.200001,0.15000001,0.007264928,4.0300002,1.05,4,4,0.95599997,324,49
1979,71,13.6,16,54.700001,0.25,0.01801374,13.86,5.54,3,7.5,0.935,360,50
1979,62.400002,15.1,13.9,134.5,0.19,0.0083838878,5.75,2.3,3,6,1.122,288,51
1979,77.599998,9.8999996,34.700001,60.299999,0.19,0.010772558,0,0,4.5,0,1.431976,356.39999,53
1979,56,12,30.6,80.5,0.20999999,0.0047232411,8.7600002,3.5,3,6,1.085,264,54
1979,69.599998,10,29.299999,85.900002,0.31999999,0.019817248,10,10,4,7.9000001,0.82499999,390,55
1979,77.900002,9.6999998,20.799999,4.6999998,0.059999999,0.0056481981,0,0,3,0,0.54636699,186,56
1980,57.299999,10.6,19.5,76.900002,0.25,0.0035874939,2.5599999,3.74,4,5,1.022,264,1
1980,73.400002,13.8,16.1,24.1,0.14,0.0081900498,4.1700001,1.09,4,10.5,2.4260001,168,4
1980,56.299999,17.5,11.7,44,0.25,0.0074506798,7,5.5999999,3,6,1.4859999,207,5
1980,73.699997,16.1,24.4,152.60001,0.18000001,0.0066799782,11,7.1500001,4.75,9.6000004,2.3896971,240,6
1980,79.699997,13.6,15.2,28,0.14,0.0080528567,3.3099999,0.86000001,3,5,0.87800002,270,8
1980,71.300003,18.700001,25.799999,642.5,0.28999999,0.014337931,0,2.8,7,10,2.0190001,420,9
1980,69.599998,18.200001,22.6,304.39999,0.34,0.0070684589,13.5,5.4000001,0,8.6999998,1.333181,429,10
1980,67.199997,18.299999,12,182.2,0.11,0.0080975378,0,0,4,5,2.2079999,270,12
1980,58.599998,15.2,12.5,94.699997,0.22,0.0080925114,6,2.4000001,3,6,1.201,342,13
1980,74.699997,14,20.1,11.5,0.16,0.0092755789,7.5,3,3,6.5,1.347,528,16
1980,68.5,13.9,29.5,205.7,0.25,0.015114727,2.5,2.5,4,6.8499999,1.682,371,17
1980,67.699997,14,29.5,153.10001,0.33000001,0.0088585699,1.9,0.75999999,4,6,0.59299999,198,18
1980,72.5,11.8,24.299999,52.200001,0.25,0.013555594,6.9499998,1.84,3,10,1.345,522,19
1980,74.300003,12.5,13.7,29,0.19,0.013678806,4.71,1.23,3,4.5,0.949,216,20
1980,53.900002,14.1,21.200001,92.199997,0.25999999,0.0072127772,3.0899999,0.80000001,5,5.8000002,1.7079999,408,21
1980,58.5,9.5,13.2,96.900002,0.14,0.003060742,2.9100001,0.75999999,3,8,1.893,199.8,22
