year,cofip_sub,cofip_nbr
1999,4027,6025
1999,4015,6071
1999,4012,6071
1999,4012,6025
1999,4012,6065
1999,4001,8083
1999,1003,12033
1999,1061,12131
1999,1039,12131
1999,1053,12091
1999,1069,12063
1999,1061,12063
1999,1039,12091
1999,1053,12033
1999,1061,12059
1999,1053,12113
1999,12065,13027
1999,12039,13087
1999,1113,13053
1999,1017,13145
1999,12065,13275
1999,12089,13049
1999,12073,13131
1999,1019,13055
1999,12003,13065
1999,1113,13259
1999,1081,13145
1999,1081,13215
1999,12047,13101
1999,1005,13061
1999,1071,13083
1999,1019,13115
1999,1069,13099
1999,12039,13131
1999,1017,13285
1999,12079,13185
1999,1067,13099
1999,1113,13215
1999,1111,13285
1999,1029,13233
1999,1111,13149
1999,12063,13253
1999,1005,13259
1999,12003,13049
1999,12073,13275
1999,1069,13253
1999,1049,13083
1999,12023,13065
1999,1029,13143
1999,12003,13299
1999,12047,13185
1999,1005,13239
1999,1111,13045
1999,1029,13045
1999,1049,13055
1999,1019,13233
1999,12079,13027
1999,12089,13039
1999,12023,13101
1999,1067,13061
1999,1049,13295
1999,12039,13253
1999,17075,18111
1999,17023,18167
1999,17185,18051
1999,17059,18129
1999,17185,18083
1999,17091,18111
1999,17031,18089
1999,17033,18153
1999,17101,18083
1999,17033,18083
1999,17091,18089
1999,17183,18007
1999,17075,18007
1999,17183,18171
1999,17193,18129
1999,17045,18165
1999,17023,18153
1999,17183,18165
1999,17193,18051
1999,17045,18167
1999,17197,18089
1999,17071,19057
1999,17085,19097
1999,17071,19111
1999,17067,19111
1999,17015,19097
1999,17161,19115
1999,17015,19045
1999,17085,19061
1999,17131,19115
1999,17131,19057
1999,17161,19139
1999,17161,19163
1999,17195,19045
1999,17161,19045
1999,8009,20129
1999,8063,20181
1999,8125,20023
1999,8061,20071
1999,8017,20071
1999,8099,20075
1999,8099,20071
1999,8017,20199
1999,8099,20187
1999,8009,20187
1999,8063,20023
1999,8063,20199
1999,18163,21101
1999,17069,21055
1999,17003,21007
1999,18019,21111
1999,18019,21223
1999,18019,21185
1999,17059,21225
1999,18173,21101
1999,18025,21163
1999,18029,21015
1999,18147,21059
1999,17153,21007
1999,18061,21093
1999,18061,21163
1999,18155,21015
1999,18077,21041
1999,17153,21145
1999,17127,21145
1999,18061,21111
1999,17069,21225
1999,18123,21163
1999,18129,21101
1999,18123,21091
1999,18147,21091
1999,18123,21027
1999,18043,21111
1999,18155,21077
1999,17127,21139
1999,18115,21015
1999,17151,21139
1999,17069,21139
1999,18155,21041
1999,18129,21225
1999,18173,21059
1999,18077,21223
1999,5139,22027
1999,5003,22111
1999,5091,22017
1999,5139,22111
1999,5027,22119
1999,5073,22119
1999,5017,22035
1999,5091,22015
1999,5139,22067
1999,5003,22067
1999,5017,22067
1999,5027,22027
1999,5017,22123
1999,5073,22015
1999,10005,24045
1999,10005,24019
1999,10005,24011
1999,10001,24035
1999,10001,24011
1999,10003,24029
1999,10003,24015
1999,10001,24029
1999,10005,24047
1999,9005,25013
1999,9013,25027
1999,9003,25013
1999,9013,25013
1999,9015,25027
1999,9005,25003
1999,18087,26023
1999,18141,26021
1999,18039,26149
1999,18151,26023
1999,18087,26149
1999,18151,26059
1999,18141,26027
1999,18091,26021
1999,18039,26027
1999,19191,27055
1999,19143,27063
1999,19109,27043
1999,19131,27099
1999,19063,27091
1999,19143,27105
1999,19109,27091
1999,19119,27133
1999,19005,27055
1999,19191,27045
1999,19119,27105
1999,19089,27099
1999,19189,27043
1999,19195,27047
1999,19189,27047
1999,19195,27099
1999,19089,27045
1999,19059,27063
1999,19063,27063
1999,1023,28153
1999,22107,28021
1999,1107,28087
1999,1129,28041
1999,1075,28095
1999,22117,28113
1999,5077,28143
1999,1077,28141
1999,5017,28011
1999,22117,28109
1999,5107,28143
1999,1093,28057
1999,1129,28153
1999,22107,28063
1999,22037,28005
1999,1119,28103
1999,22037,28157
1999,1093,28095
1999,22117,28147
1999,22029,28001
1999,1119,28075
1999,1107,28103
1999,1023,28075
1999,5017,28055
1999,22065,28149
1999,22105,28113
1999,22035,28149
1999,22107,28001
1999,22035,28055
1999,1059,28141
1999,1097,28041
1999,22125,28157
1999,22117,28091
1999,1119,28069
1999,22103,28045
1999,5035,28143
1999,1075,28087
1999,5107,28011
1999,22091,28005
1999,1023,28023
1999,22029,28157
1999,1097,28059
1999,5035,28033
1999,1033,28141
1999,1059,28057
1999,22107,28149
1999,1097,28039
1999,22065,28149
1999,5107,28027
1999,5041,28011
1999,22105,28005
1999,5017,28151
1999,22103,28109
1999,17157,29157
1999,20121,29013
1999,21075,29143
1999,17119,29183
1999,19051,29197
1999,19177,29045
1999,17149,29127
1999,20209,29095
1999,17149,29163
1999,5015,29209
1999,20091,29037
1999,20091,29095
1999,20209,29047
1999,20037,29011
1999,19185,29129
1999,17083,29183
1999,19071,29005
1999,5009,29213
1999,20107,29013
1999,20121,29037
1999,17133,29099
1999,5021,29023
1999,5015,29009
1999,17067,29045
1999,19051,29199
1999,17013,29163
1999,19145,29005
1999,19177,29199
1999,17003,29133
1999,21039,29133
1999,19053,29129
1999,20037,29217
1999,19145,29147
1999,5135,29149
1999,17067,29111
1999,19111,29045
1999,20043,29087
1999,17181,29031
1999,17149,29173
1999,20021,29145
1999,17003,29201
1999,19159,29227
1999,19053,29081
1999,17181,29157
1999,21075,29133
1999,5021,29069
1999,5093,29155
1999,17119,29510
1999,5007,29009
1999,20043,29003
1999,5049,29153
1999,20005,29021
1999,19173,29227
1999,20043,29021
1999,19185,29171
1999,19159,29081
1999,20011,29217
1999,17157,29186
1999,17003,29031
1999,21007,29133
1999,20005,29165
1999,20209,29165
1999,21075,29143
1999,5031,29069
1999,5121,29149
1999,19007,29171
1999,20037,29097
1999,5089,29153
1999,20103,29165
1999,5055,29069
1999,5121,29181
1999,5049,29149
1999,5089,29213
1999,17013,29183
1999,5005,29153
1999,19007,29197
1999,5021,29181
1999,20021,29097
1999,17163,29510
1999,17013,29113
1999,17133,29189
1999,5093,29069
1999,19173,29147
1999,5007,29119
1999,21105,29133
1999,17119,29189
1999,17133,29186
1999,5049,29091
1999,17077,29157
1999,17001,29127
1999,17001,29111
1999,20107,29217
1999,17163,29189
1999,5015,29213
1999,16049,30081
1999,16021,30053
1999,16017,30053
1999,16079,30089
1999,16033,30001
1999,16059,30001
1999,16049,30063
1999,16035,30063
1999,16043,30031
1999,16035,30061
1999,16043,30001
1999,16079,30061
1999,16017,30089
1999,16043,30057
1999,16059,30081
1999,29087,31127
1999,20201,31095
1999,8095,31029
1999,20153,31057
1999,20157,31095
1999,20183,31181
1999,19085,31177
1999,20117,31133
1999,20039,31145
1999,19085,31021
1999,8095,31135
1999,20043,31147
1999,20131,31147
1999,8125,31057
1999,20147,31061
1999,19193,31173
1999,8075,31105
1999,29005,31131
1999,20089,31181
1999,20157,31129
1999,20013,31147
1999,29005,31127
1999,8115,31033
1999,29087,31147
1999,19155,31055
1999,20089,31129
1999,8115,31135
1999,19133,31173
1999,19129,31153
1999,20147,31083
1999,20137,31083
1999,19133,31021
1999,19193,31043
1999,19155,31153
1999,20153,31145
1999,20039,31065
1999,20183,31061
1999,19071,31025
1999,20137,31065
1999,8123,31105
1999,20153,31087
1999,8075,31033
1999,20201,31169
1999,20023,31057
1999,20157,31169
1999,20131,31133
1999,19155,31177
1999,8125,31029
1999,19071,31131
1999,8115,31049
1999,20201,31067
1999,20117,31067
1999,19129,31025
1999,6049,32031
1999,4015,32017
1999,6071,32003
1999,6051,32009
1999,16073,32007
1999,6051,32005
1999,6003,32005
1999,6091,32031
1999,16031,32007
1999,6057,32031
1999,6027,32023
1999,6027,32003
1999,6027,32009
1999,6061,32510
1999,4015,32003
1999,16073,32013
1999,6051,32021
1999,6061,32031
1999,6017,32005
1999,6035,32031
1999,6051,32019
1999,16083,32007
1999,6061,32005
1999,23031,33003
1999,25009,33015
1999,25027,33011
