"","V1","V2","V3","V4"
"1",1990,1001,1,33996
"2",1991,1001,1,34356
"3",1992,1001,1,35018
"4",1993,1001,1,36002
"5",1994,1001,1,36976
"6",1995,1001,1,38218
"7",1996,1001,1,39154
"8",1997,1001,1,40251
"9",1998,1001,1,41293
"10",1999,1001,1,42193
"11",2000,1001,1,43140
"12",2001,1001,1,43872
"13",2002,1001,1,44434
"14",2003,1001,1,45157
"15",2004,1001,1,45762
"16",2005,1001,1,46933
"17",2006,1001,1,47870
"18",2007,1001,1,49105
"19",2008,1001,1,49834
"20",2009,1001,1,50354
"21",2010,1001,1,50756
"22",2011,1001,1,54684
"23",2012,1001,1,55275
"24",2013,1001,1,55192
"25",2014,1001,1,55136
"26",1990,1003,1,96198
"27",1991,1003,1,98921
"28",1992,1003,1,102229
"29",1993,1003,1,106228
"30",1994,1003,1,110873
"31",1995,1003,1,115834
"32",1996,1003,1,119962
"33",1997,1003,1,124261
"34",1998,1003,1,128770
"35",1999,1003,1,132857
"36",2000,1003,1,135820
"37",2001,1003,1,141358
"38",2002,1003,1,144988
"39",2003,1003,1,148141
"40",2004,1003,1,151707
"41",2005,1003,1,156573
"42",2006,1003,1,162564
"43",2007,1003,1,168516
"44",2008,1003,1,172815
"45",2009,1003,1,176212
"46",2010,1003,1,179878
"47",2011,1003,1,183216
"48",2012,1003,1,186694
"49",2013,1003,1,190561
"50",2014,1003,1,195443
"51",1990,1005,1,25336
"52",1991,1005,1,25452
"53",1992,1005,1,26227
"54",1993,1005,1,26435
"55",1994,1005,1,26637
"56",1995,1005,1,26788
"57",1996,1005,1,26665
"58",1997,1005,1,26866
"59",1998,1005,1,26747
"60",1999,1005,1,26936
"61",2000,1005,1,26726
"62",2001,1005,1,29035
"63",2002,1005,1,29223
"64",2003,1005,1,29289
"65",2004,1005,1,29480
"66",2005,1005,1,29458
"67",2006,1005,1,29452
"68",2007,1005,1,29556
"69",2008,1005,1,29736
"70",2009,1005,1,29836
"71",2010,1005,1,29737
"72",2011,1005,1,27336
"73",2012,1005,1,27225
"74",2013,1005,1,27169
"75",2014,1005,1,26978
"76",1990,1007,1,16360
"77",1991,1007,1,16675
"78",1992,1007,1,16956
"79",1993,1007,1,17191
"80",1994,1007,1,17447
"81",1995,1007,1,17643
"82",1996,1007,1,17988
"83",1997,1007,1,18256
"84",1998,1007,1,18639
"85",1999,1007,1,18987
"86",2000,1007,1,19601
"87",2001,1007,1,19936
"88",2002,1007,1,20942
"89",2003,1007,1,20983
"90",2004,1007,1,21037
"91",2005,1007,1,21208
"92",2006,1007,1,21375
"93",2007,1007,1,21285
"94",2008,1007,1,21485
"95",2009,1007,1,21589
"96",2010,1007,1,21587
"97",2011,1007,1,22879
"98",2012,1007,1,22740
"99",2013,1007,1,22634
"100",2014,1007,1,22504
"101",1990,1009,1,38771
"102",1991,1009,1,39410
"103",1992,1009,1,39868
"104",1993,1009,1,40230
"105",1994,1009,1,40992
"106",1995,1009,1,41363
