"","cofip_sub","cofip_nbr_nbr","id"
"1",4027,6073,402706073
"2",4015,6029,401506029
"3",4015,6037,401506037
"4",4015,6059,401506059
"5",4015,49017,401549017
"6",4012,6029,401206029
"7",4012,6037,401206037
"8",4012,6059,401206059
"9",4012,6073,401206073
"12",4001,8111,400108111
"13",4001,35043,400135043
"14",4001,35051,400135051
"15",4001,35053,400135053
"16",4001,35001,400135001
"19",4001,35061,400135061
"21",4001,49015,400149015
"22",4001,49017,400149017
"23",4001,49055,400149055
"24",1061,12005,106112005
"25",1061,12133,106112133
"27",1061,12013,106112013
"28",1061,12077,106112077
"31",1039,12005,103912005
"32",1039,12133,103912133
"33",1069,12005,106912005
"34",1069,12013,106912013
"35",1069,12077,106912077
"36",1069,12133,106912133
"37",1069,13007,106913007
"38",1069,13037,106913037
"39",1069,13201,106913201
"41",12065,13071,1206513071
"42",12065,13075,1206513075
"44",12065,13205,1206513205
"45",12039,13007,1203913007
"46",12039,13201,1203913201
"47",12039,13205,1203913205
"50",1113,13197,111313197
"51",1113,13263,111313263
"53",1113,13243,111313243
"54",1113,13307,111313307
"56",1017,13199,101713199
"57",1017,13263,101713263
"58",1017,13077,101713077
"60",12089,13025,1208913025
"62",12089,13127,1208913127
"63",12073,13205,1207313205
"64",12073,13071,1207313071
"66",1019,13015,101913015
"67",1019,13129,101913129
"69",1019,13223,101913223
"70",12003,13003,1200313003
"71",12003,13173,1200313173
"72",12003,13025,1200313025
"74",12003,13005,1200313005
"76",12003,13069,1200313069
"77",12003,13229,1200313229
"78",1081,13199,108113199
"79",1081,13263,108113263
"81",12047,13173,1204713173
"82",12047,13019,1204713019
"83",12047,13075,1204713075
"85",1005,13037,100513037
"86",1005,13243,100513243
"87",1005,13197,100513197
"89",1005,13307,100513307
"91",1071,47031,107147031
"92",1071,47061,107147061
"93",1071,47127,107147127
"95",1071,47153,107147153
"96",12079,13019,1207913019
"97",12079,13075,1207913075
"98",12079,13173,1207913173
"99",12079,13071,1207913071
"101",1067,13007,106713007
"102",1067,13037,106713037
"103",1067,13201,106713201
"105",1067,13243,106713243
"106",1111,13077,111113077
"107",1111,13199,111113199
"110",1111,13097,111113097
"111",1111,13121,111113121
"112",1111,13223,111113223
"113",1029,13015,102913015
"114",1029,13223,102913223
"116",1029,13077,102913077
"117",1029,13097,102913097
"118",1029,13121,102913121
"120",12063,13201,1206313201
"121",1049,13129,104913129
"122",12023,13003,1202313003
"123",12023,13173,1202313173
"125",17075,18073,1707518073
"127",17075,18157,1707518157
"128",17075,18181,1707518181
"129",17023,18021,1702318021
"130",17023,18121,1702318121
"132",17023,18055,1702318055
"133",17185,18125,1718518125
"134",17185,18027,1718518027
"135",17185,18055,1718518055
"137",17059,21233,1705921233
"138",17091,18073,1709118073
"140",17091,18127,1709118127
"141",17031,18073,1703118073
"142",17031,18127,1703118127
"143",17033,18021,1703318021
"144",17033,18055,1703318055
"145",17033,18027,1703318027
"147",17033,18125,1703318125
"148",17101,18027,1710118027
"149",17101,18055,1710118055
"150",17101,18125,1710118125
"151",17183,18073,1718318073
"152",17183,18157,1718318157
"153",17183,18181,1718318181
"154",17183,18045,1718318045
"157",17183,18121,1718318121
"158",17193,18125,1719318125
"159",17045,18045,1704518045
"160",17045,18121,1704518121
"161",17045,18021,1704518021
"163",17197,18073,1719718073
"164",17197,18127,1719718127
"165",17071,19087,1707119087
"167",17085,19105,1708519105
"168",17085,19055,1708519055
"170",17085,55049,1708555049
"172",17085,55103,1708555103
"173",17067,19087,1706719087
"174",17067,29103,1706729103
"176",17067,29205,1706729205
"177",17015,19105,1701519105
"178",17015,19031,1701519031
"180",17161,19087,1716119087
"181",17161,19103,1716119103
"182",17161,19183,1716119183
"183",17161,19031,1716119031
"187",17161,19105,1716119105
"188",17131,19087,1713119087
"189",17131,19103,1713119103
"190",17131,19183,1713119183
"192",17195,19031,1719519031
"193",17195,19105,1719519105
"194",8009,20067,800920067
"195",8009,20093,800920093
"196",8009,35021,800935021
"197",8063,20109,806320109
"198",8063,20193,806320193
"200",8063,20203,806320203
"201",8125,31085,812531085
"203",8061,20203,806120203
"204",8017,20203,801720203
"205",8017,20109,801720109
"207",8099,20067,809920067
"208",8099,20093,809920093
"209",8099,20203,809920203
"213",18163,21149,1816321149
"214",18163,21233,1816321233
"215",17069,21033,1706921033
"216",17069,21143,1706921143
"217",17069,21233,1706921233
"220",17069,21157,1706921157
"221",17003,29207,1700329207
"222",17003,29017,1700329017
"224",18019,21029,1801921029
"225",18019,21211,1801921211
"226",18019,21215,1801921215
"227",18019,21103,1801921103
"230",18173,21149,1817321149
"231",18173,21233,1817321233
"233",18173,21183,1817321183
"234",18029,21081,1802921081
"235",18029,39113,1802939113
"236",18029,39165,1802939165
"238",18147,21149,1814721149
"239",18147,21183,1814721183
"241",17153,21157,1715321157
"242",18061,21029,1806121029
"243",18061,21085,1806121085
"244",18061,21099,1806121099
"245",18061,21123,1806121123
"246",18061,21179,1806121179
"248",18061,21211,1806121211
"249",18061,21215,1806121215
"250",18155,21081,1815521081
"252",18155,21187,1815521187
"253",18155,21103,1815521103
"255",18077,21103,1807721103
"256",18077,21187,1807721187
"258",17127,21157,1712721157
"259",17127,21143,1712721143
"261",18123,21183,1812321183
"262",18123,21085,1812321085
"264",18129,21149,1812921149
"265",18129,21233,1812921233
"267",18043,21029,1804321029
"268",18043,21211,1804321211
"269",18043,21215,1804321215
"270",18115,21081,1811521081
"271",17151,21143,1715121143
"272",17151,21157,1715121157
"273",5139,22013,513922013
"274",5139,22061,513922061
"276",5139,22073,513922073
"278",5139,22083,513922083
"279",5003,22061,500322061
"280",5003,22073,500322073
"282",5003,22083,500322083
"283",5091,22081,509122081
"284",5091,22013,509122013
"286",5091,48343,509148343
"288",5027,22013,502722013
"290",5027,22061,502722061
"291",5073,22013,507322013
"293",5073,22081,507322081
"294",5017,22083,501722083
"295",5017,22073,501722073
"298",5017,28133,501728133
"299",5017,28125,501728125
"300",5017,28163,501728163
"301",5017,28053,501728053
"304",10005,24009,1000524009
"305",10005,24037,1000524037
"306",10005,24041,1000524041
"308",10001,24003,1000124003
"309",10001,24041,1000124041
"312",10003,24003,1000324003
"313",10003,34011,1000334011
"314",10003,34001,1000334001
"317",10003,42011,1000342011
"318",10003,42091,1000342091
"322",9005,25015,900525015
"324",9005,36111,900536111
"325",9013,25015,901325015
"327",9003,25015,900325015
"328",9015,25015,901525015
"329",18087,26025,1808726025
"330",18087,26077,1808726077
"333",18087,26159,1808726159
"334",18141,18127,1814118127
"335",18141,26159,1814126159
"336",18141,26077,1814126077
"338",18039,26025,1803926025
"339",18039,26077,1803926077
"340",18039,26159,1803926159
"343",18151,26025,1815126025
"344",18151,26077,1815126077
"346",18151,26075,1815126075
"347",18151,39069,1815139069
"348",18091,18127,1809118127
"349",18091,26159,1809126159
"350",19191,27109,1919127109
"351",19143,27033,1914327033
"352",19143,27165,1914327165
"354",19143,27101,1914327101
"355",19109,27013,1910927013
"356",19109,27161,1910927161
"358",19109,27165,1910927165
"359",19131,27039,1913127039
"360",19131,27109,1913127109
"361",19131,27147,1913127147
"362",19063,27013,1906327013
"363",19063,27165,1906327165
"364",19063,27033,1906327033
"366",19119,27101,1911927101
"367",19119,27033,1911927033
"369",19119,46125,1911946125
"370",19119,46079,1911946079
"371",19119,46087,1911946087
"373",19005,55103,1900555103
"374",19005,55057,1900555057
"375",19005,55081,1900555081
"377",19005,55111,1900555111
"378",19089,27039,1908927039
"379",19089,27109,1908927109
"380",19089,27147,1908927147
"382",19189,27013,1918927013
"383",19189,27161,1918927161
"384",19189,27147,1918927147
"386",19195,27147,1919527147
"387",19195,27161,1919527161
"388",19195,27039,1919527039
"389",19195,27109,1919527109
"391",19059,27033,1905927033
"392",19059,27165,1905927165
"393",1023,28061,102328061
"394",1023,28067,102328067
"395",1023,28111,102328111
"397",1023,28099,102328099
"398",1023,28101,102328101
"401",22107,28029,2210728029
"402",22107,28049,2210728049
"404",22107,28037,2210728037
"405",22107,28085,2210728085
"408",22107,28163,2210728163
"409",1107,28025,110728025
"410",1107,28105,110728105
"412",1107,28159,110728159
"413",1129,28111,112928111
"414",1129,28061,112928061
"415",1129,28067,112928067
"417",1075,28017,107528017
"418",1075,28025,107528025
"419",1075,28081,107528081
"421",1075,28105,107528105
"422",22117,28085,2211728085
"423",22117,28035,2211728035
"424",22117,28047,2211728047
"425",22117,28073,2211728073
"426",22117,28131,2211728131
"427",22117,28077,2211728077
"429",22117,28065,2211728065
"432",5077,28107,507728107
"433",5077,28119,507728119
"434",5077,28137,507728137
"435",1077,28117,107728117
"436",1077,47039,107747039
"437",1077,47101,107747101
"438",1077,47135,107747135
"440",1077,47119,107747119
"441",1077,47117,107747117
"443",1077,47023,107747023
"445",1077,47077,107747077
"446",5107,28107,510728107
"447",5107,28119,510728119
"448",5107,28137,510728137
"449",5107,28133,510728133
"452",5107,28135,510728135
"453",1093,28081,109328081
"454",1093,28117,109328117
"455",1093,28017,109328017
"456",1093,28025,109328025
"458",22037,28037,2203728037
"459",22037,28085,2203728085
"461",1119,28105,111928105
"462",1119,28159,111928159
"463",1119,28061,111928061
"464",1119,28099,111928099
"465",1119,28101,111928101
"469",22029,28037,2202928037
"471",22065,28049,2206528049
"472",22065,28163,2206528163
"475",22105,28085,2210528085
"476",22105,28037,2210528037
"478",22035,28049,2203528049
"479",22035,28163,2203528163
"480",22035,28125,2203528125
"482",1059,28117,105928117
"483",1059,28081,105928081
