FIPS Code,Rural-urban_continuum,urban_influence,mean_temp_jan,mean_sunlight_jan,mean_sunlight_july,mean_humidity_july,top_code,pct_water,ln_pct_water,jan_tmp_z,jan_sun_z,jul_temp_z,jul_hum_z,top_z,pct_water_z,amen_scale
01001,2 ,2 ,47.4 ,130 ,81.0 ,66 ,14 ,1.40 ,4.944 ,1.20277 ,-0.64758 ,-0.13206 ,-0.68502 ,0.77701 ,0.26585,0.78 
01003,2 ,2 ,51.9 ,152 ,80.6 ,72 ,4 ,21.24 ,7.661 ,1.57504 ,0.01482 ,0.36308 ,-1.09576 ,-0.73966 ,1.70428,1.82 
01005,6 ,5 ,48.8 ,152 ,81.0 ,69 ,4 ,2.17 ,5.378 ,1.31859 ,0.01482 ,-0.01148 ,-0.89039 ,-0.73966 ,0.4957,0.19 
01007,6 ,6 ,44.8 ,130 ,80.8 ,66 ,14 ,0.50 ,3.916 ,0.98768 ,-0.64758 ,-0.30223 ,-0.68502 ,0.77701 ,-0.27812,-0.15 
01009,2 ,2 ,41.9 ,130 ,78.4 ,66 ,14 ,0.76 ,4.336 ,0.74778 ,-0.64758 ,0.09330 ,-0.68502 ,0.77701 ,-0.05592,0.23 
01011,6 ,6 ,47.8 ,149 ,80.2 ,67 ,4 ,0.17 ,2.810 ,1.23586 ,-0.07551 ,0.11749 ,-0.75347 ,-0.73966 ,-0.86356,-1.08 
01013,7 ,8 ,49.2 ,152 ,80.8 ,69 ,4 ,0.13 ,2.602 ,1.35168 ,0.01482 ,0.07675 ,-0.89039 ,-0.73966 ,-0.97346,-1.16 
01015,3 ,2 ,42.8 ,130 ,79.2 ,66 ,15 ,0.63 ,4.141 ,0.82223 ,-0.64758 ,-0.04428 ,-0.68502 ,0.92868 ,-0.15897,0.22 
01017,5 ,8 ,44.2 ,149 ,79.2 ,67 ,5 ,0.95 ,4.557 ,0.93805 ,-0.07551 ,0.07630 ,-0.75347 ,-0.58800 ,0.06137,-0.34 
01019,6 ,6 ,42.8 ,130 ,79.2 ,66 ,9 ,7.81 ,6.660 ,0.82223 ,-0.64758 ,-0.04428 ,-0.68502 ,0.01867 ,1.17434,0.64 
01021,6 ,6 ,44.6 ,130 ,80.0 ,66 ,14 ,0.96 ,4.566 ,0.97114 ,-0.64758 ,-0.10435 ,-0.68502 ,0.77701 ,0.06603,0.38 
01023,9 ,9 ,47.4 ,152 ,80.5 ,69 ,13 ,0.80 ,4.377 ,1.20277 ,0.01482 ,0.00238 ,-0.89039 ,0.62534 ,-0.03413,0.92 
01025,7 ,8 ,47.4 ,152 ,80.5 ,69 ,14 ,1.13 ,4.726 ,1.20277 ,0.01482 ,0.00238 ,-0.89039 ,0.77701 ,0.15046,1.26 
01027,9 ,9 ,44.2 ,149 ,79.2 ,67 ,15 ,0.15 ,2.731 ,0.93805 ,-0.07551 ,0.07630 ,-0.75347 ,0.92868 ,-0.9055,0.21 
01029,6 ,4 ,44.2 ,149 ,79.2 ,67 ,15 ,0.15 ,2.730 ,0.93805 ,-0.07551 ,0.07630 ,-0.75347 ,0.92868 ,-0.90609,0.21 
01031,4 ,5 ,50.5 ,152 ,80.5 ,69 ,4 ,0.20 ,2.973 ,1.45922 ,0.01482 ,0.26938 ,-0.89039 ,-0.73966 ,-0.77748,-0.66 
01033,3 ,2 ,41.3 ,130 ,80.1 ,65 ,14 ,4.66 ,6.145 ,0.69815 ,-0.64758 ,-0.41547 ,-0.61656 ,0.77701 ,0.90165,0.70 
01035,7 ,8 ,48.4 ,152 ,80.5 ,69 ,4 ,0.20 ,2.999 ,1.28550 ,0.01482 ,0.08851 ,-0.89039 ,-0.73966 ,-0.76377,-1.00 
01037,8 ,6 ,44.2 ,149 ,79.2 ,67 ,15 ,2.09 ,5.342 ,0.93805 ,-0.07551 ,0.07630 ,-0.75347 ,0.92868 ,0.47658,1.59 
01039,7 ,8 ,49.2 ,152 ,80.8 ,69 ,4 ,0.88 ,4.481 ,1.35168 ,0.01482 ,0.07675 ,-0.89039 ,-0.73966 ,0.02092,-0.17 
01041,6 ,6 ,48.5 ,152 ,80.3 ,69 ,4 ,0.21 ,3.050 ,1.29377 ,0.01482 ,0.15089 ,-0.89039 ,-0.73966 ,-0.73652,-0.91 
01043,6 ,5 ,40.9 ,130 ,78.3 ,66 ,14 ,2.17 ,5.380 ,0.66505 ,-0.64758 ,0.03406 ,-0.68502 ,0.77701 ,0.49675,0.64 
01045,3 ,2 ,50.5 ,152 ,80.5 ,69 ,4 ,0.28 ,3.348 ,1.45922 ,0.01482 ,0.26938 ,-0.89039 ,-0.73966 ,-0.57903,-0.47 
01047,4 ,5 ,49.1 ,149 ,81.7 ,67 ,4 ,1.27 ,4.848 ,1.34340 ,-0.07551 ,-0.17386 ,-0.75347 ,-0.73966 ,0.215,-0.18 
01049,6 ,5 ,39.6 ,130 ,76.8 ,66 ,9 ,0.09 ,2.238 ,0.55751 ,-0.64758 ,0.32541 ,-0.68502 ,0.01867 ,-1.16637,-1.60 
01051,2 ,2 ,46.0 ,149 ,79.7 ,67 ,14 ,5.43 ,6.297 ,1.08696 ,-0.07551 ,0.09690 ,-0.75347 ,0.77701 ,0.98215,2.11 
01053,6 ,6 ,50.5 ,152 ,80.3 ,69 ,4 ,0.58 ,4.068 ,1.45922 ,0.01482 ,0.32316 ,-0.89039 ,-0.73966 ,-0.19763,-0.03 
01055,3 ,2 ,42.8 ,130 ,79.2 ,66 ,15 ,2.55 ,5.540 ,0.82223 ,-0.64758 ,-0.04428 ,-0.68502 ,0.92868 ,0.58125,0.96 
