cofip_nbr,mean_temp_jan_nbr,mean_sunlight_jan_nbr,mean_sunlight_july_nbr,mean_humidity_july_nbr,top_code_nbr,pct_water_nbr,ln_pct_water_nbr,jan_tmp_z_nbr,jan_sun_z_nbr,jul_temp_z_nbr,jul_hum_z_nbr,top_z_nbr,pct_water_z_nbr,amen_scale_nbr
1001,47.4,130,81,66,14,1.4,4.944,1.20277,-0.64758,-0.13206,-0.68502,0.77701,0.26585,0.78
1003,51.9,152,80.6,72,4,21.24,7.661,1.57504,0.01482,0.36308,-1.09576,-0.73966,1.70428,1.82
1005,48.8,152,81,69,4,2.17,5.378,1.31859,0.01482,-0.01148,-0.89039,-0.73966,0.4957,0.19
1007,44.8,130,80.8,66,14,0.5,3.916,0.98768,-0.64758,-0.30223,-0.68502,0.77701,-0.27812,-0.15
1009,41.9,130,78.4,66,14,0.76,4.336,0.74778,-0.64758,0.0933,-0.68502,0.77701,-0.05592,0.23
1011,47.8,149,80.2,67,4,0.17,2.81,1.23586,-0.07551,0.11749,-0.75347,-0.73966,-0.86356,-1.08
1013,49.2,152,80.8,69,4,0.13,2.602,1.35168,0.01482,0.07675,-0.89039,-0.73966,-0.97346,-1.16
1015,42.8,130,79.2,66,15,0.63,4.141,0.82223,-0.64758,-0.04428,-0.68502,0.92868,-0.15897,0.22
1017,44.2,149,79.2,67,5,0.95,4.557,0.93805,-0.07551,0.0763,-0.75347,-0.588,0.06137,-0.34
1019,42.8,130,79.2,66,9,7.81,6.66,0.82223,-0.64758,-0.04428,-0.68502,0.01867,1.17434,0.64
1021,44.6,130,80,66,14,0.96,4.566,0.97114,-0.64758,-0.10435,-0.68502,0.77701,0.06603,0.38
1023,47.4,152,80.5,69,13,0.8,4.377,1.20277,0.01482,0.00238,-0.89039,0.62534,-0.03413,0.92
1025,47.4,152,80.5,69,14,1.13,4.726,1.20277,0.01482,0.00238,-0.89039,0.77701,0.15046,1.26
1027,44.2,149,79.2,67,15,0.15,2.731,0.93805,-0.07551,0.0763,-0.75347,0.92868,-0.9055,0.21
1029,44.2,149,79.2,67,15,0.15,2.73,0.93805,-0.07551,0.0763,-0.75347,0.92868,-0.90609,0.21
1031,50.5,152,80.5,69,4,0.2,2.973,1.45922,0.01482,0.26938,-0.89039,-0.73966,-0.77748,-0.66
1033,41.3,130,80.1,65,14,4.66,6.145,0.69815,-0.64758,-0.41547,-0.61656,0.77701,0.90165,0.7
1035,48.4,152,80.5,69,4,0.2,2.999,1.2855,0.01482,0.08851,-0.89039,-0.73966,-0.76377,-1
1037,44.2,149,79.2,67,15,2.09,5.342,0.93805,-0.07551,0.0763,-0.75347,0.92868,0.47658,1.59
1039,49.2,152,80.8,69,4,0.88,4.481,1.35168,0.01482,0.07675,-0.89039,-0.73966,0.02092,-0.17
1041,48.5,152,80.3,69,4,0.21,3.05,1.29377,0.01482,0.15089,-0.89039,-0.73966,-0.73652,-0.91
1043,40.9,130,78.3,66,14,2.17,5.38,0.66505,-0.64758,0.03406,-0.68502,0.77701,0.49675,0.64
1045,50.5,152,80.5,69,4,0.28,3.348,1.45922,0.01482,0.26938,-0.89039,-0.73966,-0.57903,-0.47
1047,49.1,149,81.7,67,4,1.27,4.848,1.3434,-0.07551,-0.17386,-0.75347,-0.73966,0.215,-0.18
1049,39.6,130,76.8,66,9,0.09,2.238,0.55751,-0.64758,0.32541,-0.68502,0.01867,-1.16637,-1.6
1051,46,149,79.7,67,14,5.43,6.297,1.08696,-0.07551,0.0969,-0.75347,0.77701,0.98215,2.11
1053,50.5,152,80.3,69,4,0.58,4.068,1.45922,0.01482,0.32316,-0.89039,-0.73966,-0.19763,-0.03
1055,42.8,130,79.2,66,15,2.55,5.54,0.82223,-0.64758,-0.04428,-0.68502,0.92868,0.58125,0.96
1057,43.7,130,79.6,66,14,0.25,3.217,0.89669,-0.64758,-0.07432,-0.68502,0.77701,-0.64831,-0.38
1059,41.3,130,80.1,65,14,1.68,5.125,0.69815,-0.64758,-0.41547,-0.61656,0.77701,0.36168,0.16
1061,49.8,152,81.1,69,4,0.45,3.797,1.40131,0.01482,0.04776,-0.89039,-0.73966,-0.34118,-0.51
1063,47.4,149,81.1,67,4,2.13,5.359,1.20277,-0.07551,-0.15895,-0.75347,-0.73966,0.48587,-0.04
1065,47.4,149,81.1,67,14,1.94,5.268,1.20277,-0.07551,-0.15895,-0.75347,0.77701,0.43761,1.43
1067,50.6,152,81.3,69,4,1.13,4.727,1.46749,0.01482,0.06289,-0.89039,-0.73966,0.15115,0.07
1069,50.6,152,81.3,69,4,0.22,3.107,1.46749,0.01482,0.06289,-0.89039,-0.73966,-0.70651,-0.79
1071,41.1,130,78.6,66,16,4.26,6.055,0.6816,-0.64758,-0.02938,-0.68502,1.08035,0.85402,1.25
1073,44.2,130,79.9,66,15,1,4.602,0.93805,-0.64758,-0.11192,-0.68502,0.92868,0.08485,0.51
1075,43.7,130,79.6,66,14,0.1,2.326,0.89669,-0.64758,-0.07432,-0.68502,0.77701,-1.11966,-0.85
1077,41.3,130,80.1,65,14,6.86,6.531,0.69815,-0.64758,-0.41547,-0.61656,0.77701,1.10611,0.9
1079,41.3,130,80.1,65,14,3.44,5.84,0.69815,-0.64758,-0.41547,-0.61656,0.77701,0.74015,0.54
1081,46,149,79.7,67,4,1.11,4.708,1.08696,-0.07551,0.0969,-0.75347,-0.73966,0.14089,-0.24
1083,41.2,130,79.2,65,4,6.43,6.466,0.68987,-0.64758,-0.18209,-0.61656,-0.73966,1.07166,-0.42
1085,47.5,149,81,67,4,0.98,4.583,1.21104,-0.07551,-0.12345,-0.75347,-0.73966,0.0748,-0.41
1087,47.8,149,80.2,67,4,0.44,3.792,1.23586,-0.07551,0.11749,-0.75347,-0.73966,-0.3437,-0.56
1089,40.9,130,79.5,65,6,0.98,4.58,0.66505,-0.64758,-0.2886,-0.61656,-0.43633,0.07356,-1.25
1091,47.4,149,81.1,67,4,0.59,4.078,1.20277,-0.07551,-0.15895,-0.75347,-0.73966,-0.19255,-0.72
1093,41.4,130,78.2,66,14,0.29,3.369,0.70642,-0.64758,0.10401,-0.68502,0.77701,-0.56772,-0.31
1095,40.9,130,77.6,66,6,9,6.803,0.66505,-0.64758,0.22228,-0.68502,-0.43633,1.24995,0.37
1097,51.2,152,81.6,72,4,24.98,7.823,1.51713,0.01482,0.0339,-1.09576,-0.73966,1.79023,1.52
1099,48.4,152,80.5,69,14,0.84,4.426,1.2855,0.01482,0.08851,-0.89039,0.77701,-0.00811,1.27
1101,47.5,149,81,67,4,1.24,4.823,1.21104,-0.07551,-0.12345,-0.75347,-0.73966,0.20173,-0.28
1103,41.2,149,79.2,67,14,2.81,5.639,0.68987,-0.07551,-0.18209,-0.75347,0.77701,0.63376,1.09
1105,47.4,149,81.1,67,14,0.63,4.149,1.20277,-0.07551,-0.15895,-0.75347,0.77701,-0.15466,0.84
1107,45,130,81.2,66,14,0.97,4.575,1.00423,-0.64758,-0.39255,-0.68502,0.77701,0.07092,0.13
1109,49.1,152,80.2,69,4,0.16,2.758,1.3434,0.01482,0.22946,-0.89039,-0.73966,-0.89104,-0.93
1111,44.2,149,79.2,67,14,0.52,3.959,0.93805,-0.07551,0.0763,-0.75347,0.77701,-0.25558,0.71
1113,48.8,152,81,69,4,0.97,4.578,1.31859,0.01482,-0.01148,-0.89039,-0.73966,0.07222,-0.24
1115,45,130,79.3,66,15,3.01,5.707,1.00423,-0.64758,0.11832,-0.68502,0.92868,0.66984,1.39
1117,45,130,79.3,66,15,1.81,5.2,1.00423,-0.64758,0.11832,-0.68502,0.92868,0.40169,1.12
1119,47.4,149,81.1,67,4,0.92,4.518,1.20277,-0.07551,-0.15895,-0.75347,-0.73966,0.04047,-0.48
1121,45,130,79.3,66,15,2.73,5.608,1.00423,-0.64758,0.11832,-0.68502,0.92868,0.61735,1.34
1123,46,149,79.7,67,14,6.3,6.445,1.08696,-0.07551,0.0969,-0.75347,0.77701,1.06077,2.19
1125,45,130,81.2,66,14,1.98,5.288,1.00423,-0.64758,-0.39255,-0.68502,0.77701,0.44806,0.5
1127,43.7,130,79.6,66,14,1.35,4.909,0.89669,-0.64758,-0.07432,-0.68502,0.77701,0.24736,0.51
1129,47.4,152,80.5,69,4,0.72,4.283,1.20277,0.01482,0.00238,-0.89039,-0.73966,-0.08372,-0.49
1131,47.4,152,80.5,69,14,2.07,5.332,1.20277,0.01482,0.00238,-0.89039,0.77701,0.47162,1.58
1133,41.4,130,78.2,66,14,2.76,5.619,0.70642,-0.64758,0.10401,-0.68502,0.77701,0.62346,0.88
4001,27.5,230,70.6,26,6,0.12,2.487,-0.44347,2.36332,0.95028,2.05327,-0.43633,-1.03461,3.45
4003,47.6,260,79.5,28,12,0.79,4.373,1.21932,3.26659,0.28848,1.91635,0.47368,-0.03609,7.13
4005,30.5,230,69.4,26,8,0.23,3.147,-0.19529,2.36332,1.53133,2.05327,-0.13299,-0.68508,4.93
4007,42.6,248,77.9,20,17,0.58,4.068,0.80569,2.90528,0.28803,2.46401,1.23201,-0.19765,7.5
4009,44.9,260,85,28,16,0.25,3.238,0.99596,3.26659,-1.42291,1.91635,1.08035,-0.63692,5.2
4011,46.3,260,86.4,28,21,0.08,2.039,1.11177,3.26659,-1.67876,1.91635,1.83868,-1.27179,5.18
4012,55.4,266,93.7,23,11,0.19,2.94,1.86458,3.44725,-2.85779,2.25864,0.32201,-2.35103,4.24
4013,51.2,248,91.2,20,17,0.23,3.116,1.51713,2.90528,-2.54734,2.46401,1.23201,-0.70154,4.87
4015,36.4,230,73.9,31,12,1.17,4.765,0.29279,2.36332,0.82954,1.71098,0.47368,0.17138,5.84
4017,32.6,230,78.3,26,6,0.06,1.863,-0.02157,2.36332,-0.68083,2.05327,-0.43633,-1.36465,1.91
4019,51.1,260,86.5,28,12,0.03,0.972,1.50886,3.26659,-1.29222,1.91635,0.47368,-1.83629,4.04
4021,50.6,248,91.1,20,11,0.08,2.125,1.46749,2.90528,-2.57213,2.46401,0.32201,-1.22618,3.36
4023,41.4,260,74,28,12,0.04,1.334,0.70642,3.26659,1.23331,1.91635,0.47368,-1.64495,5.95
4025,35.8,230,72.8,31,17,0.06,1.774,0.24315,2.36332,1.07363,1.71098,1.23201,-1.4121,5.21
4027,55.4,266,93.7,23,11,0.19,2.94,1.86458,3.44725,-2.85779,2.25864,0.32201,-0.79472,4.24
5001,40.3,146,80.9,60,1,4.38,6.083,0.61542,-0.16583,-0.71671,-0.27427,-1.19466,0.86897,-0.87
5003,45.4,140,81.2,66,1,1.9,5.245,1.03732,-0.34649,-0.3581,-0.68502,-1.19466,0.42513,-1.12
5005,36.8,150,79,51,19,5.52,6.313,0.32588,-0.0454,-0.50729,0.34184,1.53535,0.99066,2.64
5007,37.3,150,78,57,19,3.82,5.946,0.36724,-0.0454,-0.19535,-0.0689,1.53535,0.79637,2.39
5009,37.2,150,78.5,57,20,1.77,5.175,0.35897,-0.0454,-0.3384,-0.0689,1.68702,0.38827,1.98
5011,44.5,153,82.2,62,4,0.57,4.048,0.96287,0.04493,-0.7045,-0.41119,-0.73966,-0.20808,-1.06
5013,44.3,153,81.8,62,1,0.67,4.21,0.94632,0.04493,-0.61417,-0.41119,-1.19466,-0.12262,-1.35
